TMALPI_LH,Magnetizing Prayer,༄༅། །དབང་སྡུད་གསོལ་འདེབས།
TMQ6ZM_LH,Increasing Life and Vitality A Practice for Freeing Lives Refuge & Bodhicitta Four Immeasurables Reciting the Names of the Buddhas Recitation of the Mantras The Six-Syllable Mantra of Avalokiteśvara The Dhāraṇī of Buddha Akṣobhya The Dhāraṇī of the Eleven-faced Avalokiteśvara Visualization Prayers of Auspiciousness Verses from the Sūtra of Boundless Life and Wisdom 13 Dedication & Aspiration Prayers,༄༅། །སྲོག་བསླུ་བྱ་ཚུལ་ཚེ་དཔལ་རྒྱས་བྱེད་ཅེས་བྱ་བ་བཞུགས་སོ། །
TMEH4D_LH,Essence and Embodiment of All the Buddhas 1,༄༅། །མགུར་གླུ་སངས་རྒྱས་ཀུན་འདུས་མ།
TMQXL3_LH,Prayer for the Swift Rebirth of Jamyang Khyentse Wangpo,༄༅། །འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོའི་མྱུར་བྱོན་གསོལ་འདེབས།
TMGS2C_LH,The Twenty-Eight Commitments,༄༅། །དམ་བཅའ་ཉེར་བརྒྱད་པ་བཞུགས།
TMX6C5_LH,A Glorious Garland of the Two Accomplishments An Abridged Feast-Offering for the Female Practice of the Ḍākinī 1 Blessing the Offerings First Portion Dedicating the Remainder Aspiration Prayer,༄༅། །ཡུམ་ཀ་མཁའ་འགྲོའི་ཚོགས་ཀྱི་མཆོད་པ་ཉེ་བར་བསྡུས་པ་གྲུབ་གཉིས་དཔལ་ཕྲེང་།
TM8HX5_LH,Essence of Accomplishment An Extremely Concise Feast-Offering to Noble Tārā,༄༅། །འཕགས་མ་སྒྲོལ་མའི་ཚོགས་མཆོད་ཤིན་ཏུ་བསྡུས་པ་དངོས་གྲུབ་སྙིང་པོ་བཞུགས།
TMEMT4_LH,Harmonious Clouds of Sublime and Lasting Bliss A Vajra Song for the Tsok Feast Offering to Venerable and Exalted Vajrayoginī,༄༅། །རྗེ་བཙུན་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་ཚོགས་ཀྱི་མཆོད་པའི་རྡོ་རྗེའི་གླུ་བདེ་ཆེན་རྟག་པ་དམ་པའི་སྤྲིན་གྱི་རོལ་མོ་ཞེས་བྱ་བ།  །
TMJHI8_LH,Short Tsok Offering to the Powerful Lady Kurukullā Remainder Aspiration,༄༅། །རིགས་བྱེད་དབང་མོའི་ཚོགས་མཆོད་མདོར་བསྡུས།
TMTM76_LH,Song and Dance to Delight the Ḍākas and Ḍākinīs An Aspiration for the Sixfold Satisfaction of the Feast-Gathering,༄༅། །ཚོགས་འཁོར་ཚིམ་པ་དྲུག་ལྡན་གྱི་སྨོན་ལམ་དཔའ་བོ་དང་ཌཱ་ཀི་དགྱེས་པའི་གླུ་གར། །
TMZEMF_LH,Guru Yoga of Jamyang Loter Wangpo,༄༅། །བླ་མའི་རྣལ་འབྱོར་བཞུགས།
TMWB79_LH,The Bestowal of Supreme Blessings In Praise of the Vajradhara Loter Wangpo,༄༅། །རྡོ་རྗེ་འཆང་བློ་གཏེར་དབང་པོ་ལ་བསྟོད་པ་བྱིན་རླབས་མཆོག་སྩོལ་ཞེས་བྱ་བ་བཞུགས་སོ།།
TMMRB0_LH,"Prayer to My Root Guru, Jamyang Loter Wangpo",༄༅། །རྩ་བའི་བླ་མར་གསོལ་འདེབས་བཞུགས།    །
TMO6D5_LH,Regularly Recitable Prayer to the Root Guru,༄༅། །རྩ་བའི་བླ་མ་ལ་གསོལ་བ་འདེབས་པ་ངག་རྒྱུན་མ་བཞུགས།
TMCJWS_LH,A Song of Prayer to Jamyang Loter Wangpo,༄༅། །འཇམ་དབྱངས་བློ་གཏེར་དབང་པོ་ལ་གསོལ་བ་འདེབས་པའི་མགུར་དབྱངས།
TMSJ01_LH,Prayer to Kongtrul Yönten Gyatso,༄༅། །ཀོང་སྤྲུལ་ཡོན་ཏན་རྒྱ་མཚོའི་གསོལ་འདེབས།
TMLVR3_LH,Wondrous Light of the Moon A Prayer for the Swift Appearance of the Supreme Tulku of Vajradhara Jamyang Loter Wangpo,༄༅། །རྡོ་རྗེ་འཆང་འཇམ་དབྱངས་བློ་གཏེར་དབང་པོའི་མཆོག་སྤྲུལ་མྱུར་འབྱོན་གསོལ་འདེབས་ངོ་མཚར་ཟླ་སྣང་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMX87N_LH,Maṇḍala Offering,༄༅། །འཇའ་ཚོན་ལུགས་ཀྱི་མཎྜལ་བཞུགས།
TMYIPW_LH,Prayer to Rigdzin Jatsön Nyingpo,༄༅། །རིག་འཛིན་འཇའ་ཚོན་སྙིང་པོའི་གསོལ་འདེབས་བཞུགས་སོ། །
TM3C7O_LH,"Luminous Bindu A Guru Sādhana of the Eighty-Four Mahāsiddhas I. The Preliminaries Consecrating the Amṛta and One’s Speech Offering the Preliminary Torma Expelling the Obstructers and Drawing the Boundary Refuge, Bodhicitta, the Eight Branches, and the Four Immeasurables II. The Main Part The Self-Visualization The Front Visualization Inviting the Wisdom Beings Requesting the Siddhas to Take a Seat Making Offerings Rendering Praise Recitation Invocation III. The Conclusion Consecrating the Gathering Substances Inviting the Guests Offering the First Portion The Remainder Offering Receiving the Four Empowerments Dedicating the Merit Making Aspiration Prayers",༄༅། །གྲུབ་བརྒྱའི་བླ་བསྒྲུབ་འོད་གསལ་ཐིག་ལེ།
TMWY7U_LH,Concise Mahāmudrā Preliminary Practice from the New and Old Secret Mantra’s Ripening and Liberating Practices of Generation and Completion Taking Refuge Visualization and Recitation of Vajrasattva Maṇḍala Offering Guru Yoga,༄༅། །གསང་སྔགས་གསར་རྙིང་བསྐྱེད་རྫོགས་སྨིན་གྲོལ་གྱི་སྡེ་ལས། ཕྱག་ཆེན་སྔོན་འགྲོའི་ཁྲིད་བསྡུས་བཞུགས་སོ། །
TM5OOW_LH,Streams of Sapphire A Prayer to the Eighty-Four Mahāsiddhas,༄༅། །གྲུབ་ཆེན་བརྒྱད་ཅུ་རྩ་བཞིའི་གསོལ་འདེབས་བཻཌཱུརྱའི་རྒྱུད་མང་ཞེས་བྱ་བ།
TM19QT_LH,Short Maṇḍala Offering,༄༅། །མཎྜལ་ཚོམ་བུ་བདུན་པ་བཞུགས།
TMS0CI_LH,Prayer to Jetsün Tārā for the Fulfilment of Wishes,༄༅། །རྗེ་བཙུན་སྒྲོལ་མ་ལ་འདོད་དོན་གསོལ་འདེབས།
TMNUGD_LH,Bestowing the Splendour of Immortality A Prayer for the Long Life of Jetsün Kushok Chimey Luding Rinpoche,༄༅། །ཞབས་བརྟན་སྨོན་ཚིག་འཆི་མེད་དཔལ་སྟེར་ཞེས་བྱ་བ་བཞུགས་སོ༎
TMJ0SG_LH,Mindrolling Lineage Prayer,༄༅། །སྨིན་གྲོལ་གླིང་གི་བརྒྱུད་འདེབས།
TMFXYH_LH,Prayer for the Long Life of Jetsün Mingyur Paldrön 1,༄༅། །རྗེ་བཙུན་མི་འགྱུར་དཔལ་སྒྲོན་གྱི་ཞབས་བརྟན་གསོལ་འདེབས།
TMYCLM_LH,The Great Treasure of a Hundred Blessings A Prayer for the Long Life of Ḍākinī Muntso Rinpoche,༄༅། །ཞབས་བརྟན་སྨོན་ཚིག་བྱིན་བརྒྱའི་གཏེར་ཆེན་ཞེས་བྱ་བ་བཞུགས། །
TMBRJ3_LH,An Aspiration for the Final Age,༄༅། །དུས་མཐར་གདབ་པའི་སྨོན་ལམ།
TMNBGU_LH,Aspiration to Be Reborn in the Realm of Sukhāvatī,༄༅། །བདེ་ཅན་ཞིང་བཀོད་སྨོན་ལམ་བཞུགས། །
TMV5PO_LH,Entering the City of Omniscience An Aspiration Prayer for Actualizing Words of Truth,༄༅། །བདེན་ཚིག་འགྲུབ་པའི་པྲ་ཎི་དྷ་རྣམ་མཁྱེན་གྲོང་འཇུག་ཅེས་བྱ་བ་བཞུགས་སོ། །
TMARW4_LH,"The Prayer of the Ground, Path & Fruition",འུྃཿ ཀློང་ཆེན་སྙིང་གི་ཐིག་ལེ་ལས༔ གཞི་ལམ་འབྲས་བུའི་སྨོན་ལམ་བཞུགས༔
TMZMW9_LH,The Single Oceanic Wisdom An Aspiration to Recognise the Bardos,༄༅། །བར་དོའི་སྨོན་ལམ་དགོངས་གཅིག་རྒྱ་མཚོ།
TMVEM3_LH,Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད་བཞུགས་སོ།  །
TM59PS_LH,"The Spontaneous Vajra Song of Fulfilment and Confession from the Heart-Essence of the Vast Expanse General Fulfilment of the Nine Vehicles The Three Piṭakas 1. The Maṇḍala of the Śrāvakas and the Vinaya 2. The Maṇḍala of the Pratyekabuddhas and the Sūtras 3. The Maṇḍala of the Bodhisattvas and the Abhidharma Three Outer Tantras of Secret Mantra 1. Kriyā 2. Caryā 3. Yoga Tantra The Three Inner Tantras of Unsurpassable Secret Mantra 1. Tantra Mahāyoga 2. Scriptural Transmission Anuyoga 3. Luminous Great Perfection (Atiyoga) General and Specific Offerings to the Three Roots, Ḍākinīs and Oath-Bound Ones The Outer Offering The Inner Offering The Secret Offering Aspiration Prayer Dedication",འུྂ༔ ཀློང་ཆེན་སྙིང་གི་ཐིག་ལེ་ལས༔ སྐོང་བཤགས་རྡོ་རྗེའི་ཐོལ་གླུ་བཞུགས༔
TM54DX_LH,A Practice of Fulfilment and Confession to an Ocean of Oath-bound Protectors,༄༅།  །དམ་ཅན་རྒྱ་མཚོའི་སྐོང་བཤགས་བཞུགས་སོ།  །
TMU3RJ_LH,"A Ritual of Blessing and Empowerment for the Female Practice, from the Heart-Essence of the Vast Expanse",འུྃ༔ ཀློང་ཆེན་ཉིང་གི་ཐིག་ལེ་ལསཿ ཡུམ་ཀའི་བྱིན་རླབས་དབང་གི་ཆོ་ག་བཞུགས༔
TMYROR_LH,Illuminating the Meaning of Empowerment A Self-Initiation for the Female Practice of the Ḍākinī 1. The Preliminaries 2. The Main Part 1. Consecrating the Maṇḍala 2. The Self-Initiation 1. [The Cleansing] 2. The Request 3. Gathering the Accumulations 4. Taking the Vows 4. Entering the Maṇḍala 5. Taking Birth as Their Heir 6. Descent of Wisdom 7. The Prayer 8. The Actual Bestowing of the Empowerment 1. The Vase Empowerment 2. The Secret Empowerment 3. The Insight-Wisdom Empowerment 4. The Absolute Empowerment 3. The Concluding Stages 1. The General 2. The Specific,༄༅། །ཡུམ་ཀ་མཁའ་འགྲོའི་བདག་འཇུག་དབང་དོན་རབ་གསལ་བཞུགས།།
TM57DE_LH,"Key Points for the Empowerment and Approach Practice of Takhyung Barwa, ‘The Blazing Wrathful Guru, Hayagrīva and Garuḍa’ Crucial Points of the Empowerment 1",འུྃཿ བླ་མ་དྲག་པོ་རྟ་ཁྱུང་འབར་བ་ལས༔ དབང་དང་བསྙེན་པའི་གནད་ཡིག༔
TMHU28_LH,A Prayer Invoking the Benefits of the Festival of the Tenth Day,༄༅། །ཚེས་བཅུའི་ཕན་ཡོན་གསོལ་འདེབས་བཞུགས།
TMLHN8_LH,"A Prayer of Devotion, to Make the Tears Fall",༄༅། །མིག་ནས་མཆི་མ་ཐོན་པའི་མོས་གུས་ཀྱིས་གསོལ་བ་འདེབས་པ།
TMB0S8_LH,Secret Path to the Mountain of Glory A Prayer of Aspiration for the Copper-Coloured Mountain of Glory,༄༅། །ཟངས་མདོག་དཔལ་རིའི་སྨོན་ལམ་དཔལ་རིའི་གསང་ལམ།
TMAATA_LH,The Prayer that Swiftly Fulfils All Wishes (Sampa Nyur Drupma),༄༅། །གུ་རུའི་གསོལ་འདེབས་བསམ་པ་མྱུར་འགྲུབ་བཞུགས།
TMZOPB_LH,Training in the Pure Realms of the Three Kāyas A Prayer and Aspiration,༄༅། །སྐུ་གསུམ་ཞིང་ཁམས་སྦྱོང་བའི་གསོལ་འདེབས་སྨོན་ལམ། །
TMS8XQ_LH,Guru Yoga of Rigdzin Jigme Lingpa,༄༅། །རིག་འཛིན་འཇིགས་མེད་གླིང་པ་ལ་བརྟེན་པའི་བླ་མའི་རྣལ་འབྱོར།
TMB3EW_LH,The Wish-Fulfilling Jewel The Outer Practice of Guru Yoga from the Heart-Essence of the Vast Expanse The Visualization for Receiving the Four Empowerments,འུྃཿ ཀློང་ཆེན་སྙིང་གི་ཐིག་ལེ་ལས༔ ཕྱི་སྒྲུབ་བླ་མའི་རྣལ་འབྱོར་ཡིད་བཞིན་ནོར་བུ་བཞུགས༔
TMH48K_LH,Palchen Düpa Lineage Prayer Supplementary Verses,༄༅། །དཔལ་ཆེན་བརྒྱུད་འདེབས་བཞུགས།
TMLQOT_LH,The Continuous Shower of Blessings A Prayer to the Lineage of the Great Perfection’s Heart-Essence of the Vast Expanse (Dzogpachenpo Longchen Nyingtik),༂ རྫོགས་པ་ཆེན་པོ་ཀློང་ཆེན་སྙིང་ཏིག་གི་བརྒྱུད་འདེབས་བྱིན་རླབས་ཆར་རྒྱུན་བཞུགས།
TML3RZ_LH,Concise Stacked-Pills Torma Offering Water Offering Giving of Dharma Aspiration Prayers,༄༅། །སྤུངས་གཏོར་བསྡུས་པ་བཞུགས།
TM4IEP_LH,The Lute of the Gandharvas A Garland of Offerings of the Sixteen Vajra Goddesses 1. The mudrās of the four outer beauties 2. The mudrās of the four inner beauties 3. The mudrās of the five secret consorts 4. The mudrās of the three common goddesses of the senses,༄༅།  །རྡོ་རྗེའི་ལྷ་མོ་བཅུ་དྲུག་གི་མཆོད་ཕྲེང་དྲི་ཟའི་རྒྱུད་མང་ཞེས་བྱ་བ་བཞུགས།
